ano;periodo;estudante;disciplina;ch;tipo;anp;aulas;faltas;justificadas;percentual;nb1;nb2;ms1;nr1;mr1;nb3;nb4;ms2;nr2;mr2;ma;nef;mf;resultado;resultado_ano;situacao_atual
2013;2;1E3F43B5;BIOLOGIA;80;RG;-;80;4;-;5;64;82;73;-;73;82;64;73;-;73;73;-;74;AP;Aprovado;Concluído
2013;2;1E3F43B5;CIÊNCIAS DOS MATERIAIS;80;RG;-;80;-;-;0;71;87;79;-;79;77;79;78;-;78;79;-;79;AP;Aprovado;Concluído
2013;2;1E3F43B5;EDUCAÇÃO FÍSICA;80;RG;-;80;-;-;0;62;65;64;-;64;65;82;74;-;74;69;-;69;AP;Aprovado;Concluído
2013;2;1E3F43B5;ELETRICIDADE;80;RG;-;80;6;-;7,5;61;74;68;-;68;69;72;71;-;71;70;-;70;AP;Aprovado;Concluído
2013;2;1E3F43B5;FILOSOFIA;40;RG;-;40;1;-;2,5;84;89;87;-;87;93;77;85;-;85;86;-;86;AP;Aprovado;Concluído
2013;2;1E3F43B5;FÍSICA;80;RG;-;80;-;-;0;63;96;80;-;80;77;82;80;-;80;80;-;80;AP;Aprovado;Concluído
2013;2;1E3F43B5;GEOGRAFIA;80;RG;-;79;9;-;11,4;58;41;50;70;60;68;62;65;-;65;63;-;63;AP;Aprovado;Concluído
2013;2;1E3F43B5;HISTÓRIA;80;RG;-;86;2;-;2,3;60;70;65;-;65;75;75;75;-;75;70;-;70;AP;Aprovado;Concluído
2013;2;1E3F43B5;LÍNGUA ESTRANGEIRA MODERNA: INGLÊS;40;RG;-;38;1;-;2,6;32;50;41;60;51;55;70;63;-;63;57;70;62;AP;Aprovado;Concluído
2013;2;1E3F43B5;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;120;RG;-;117;6;-;5,1;63;36;50;58;54;45;85;65;-;65;60;-;72;AP;Aprovado;Concluído
2013;2;1E3F43B5;MATEMÁTICA;120;RG;-;118;7;-;5,9;52;86;69;-;69;83;93;88;-;88;79;-;79;AP;Aprovado;Concluído
2013;2;1E3F43B5;ORIENTAÇÃO PARA PRÁTICA PROFISSIONAL E PESQUISA;40;RG;-;40;-;-;0;79;77;78;-;78;84;75;80;-;80;79;-;79;AP;Aprovado;Concluído
2013;2;1E3F43B5;QUÍMICA;80;RG;-;83;-;-;0;82;70;76;-;76;49;100;75;-;75;76;-;76;AP;Aprovado;Concluído
2013;2;1E3F43B5;SOCIOLOGIA;40;RG;-;40;-;-;0;70;100;85;-;85;60;65;63;-;63;74;-;74;AP;Aprovado;Concluído
2013;2;1E3F43B5;ÉTICA PROFISSIONAL E CIDADANIA;40;RG;-;41;2;-;4,9;95;76;86;-;86;75;80;78;-;78;82;-;82;AP;Aprovado;Concluído
2014;3;1E3F43B5;EDUCAÇÃO FÍSICA;80;RG;-;80;4;-;5;58;80;69;-;69;95;95;95;-;95;82;-;83;AP;Aprovado;Concluído
2014;3;1E3F43B5;ELEMENTO DE MÁQUINAS;120;RG;-;120;17;-;14,2;63;69;66;-;66;58;85;72;-;72;69;-;69;AP;Aprovado;Concluído
2014;3;1E3F43B5;ELETRÔNICA;80;RG;-;80;5;-;6,2;58;72;65;-;65;79;80;80;-;80;73;-;73;AP;Aprovado;Concluído
2014;3;1E3F43B5;FILOSOFIA;40;RG;-;40;1;-;2,5;61;90;76;-;76;74;53;64;-;64;70;-;70;AP;Aprovado;Concluído
2014;3;1E3F43B5;FÍSICA;80;RG;-;80;-;-;0;60;95;78;-;78;67;67;67;-;67;73;-;73;AP;Aprovado;Concluído
2014;3;1E3F43B5;HISTÓRIA;80;RG;-;80;4;-;5;75;89;82;-;82;44;76;60;-;60;71;-;71;AP;Aprovado;Concluído
2014;3;1E3F43B5;LÍNGUA ESTRANGEIRA MODERNA: ESPANHOL;80;RG;-;80;5;-;6,2;90;80;85;-;85;70;80;75;-;75;80;-;80;AP;Aprovado;Concluído
2014;3;1E3F43B5;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;120;RG;-;120;2;-;1,7;81;49;65;-;65;54;57;56;-;56;61;-;61;AP;Aprovado;Concluído
2014;3;1E3F43B5;MATEMÁTICA;120;RG;-;121;2;-;1,7;100;90;95;-;95;82;80;81;-;81;88;-;88;AP;Aprovado;Concluído
2014;3;1E3F43B5;MECÂNICA TÉCNICA E RESISTÊNCIA DE MATERIAIS;120;RG;-;120;-;-;0;60;80;70;-;70;60;71;66;-;66;68;-;68;AP;Aprovado;Concluído
2014;3;1E3F43B5;PROCESSOS DE FABRICAÇÃO;120;RG;-;120;9;-;7,5;71;72;72;-;72;69;77;73;-;73;73;-;73;AP;Aprovado;Concluído
2014;3;1E3F43B5;SOCIOLOGIA;40;RG;-;41;4;-;9,8;90;60;75;-;75;83;90;87;-;87;81;-;81;AP;Aprovado;Concluído
2015;4;1E3F43B5;AUTOMAÇÃO INDUSTRIAL;80;RG;-;80;-;-;0;85;85;85;-;85;89;80;85;-;85;85;-;85;AP;Aprovado;Concluído
2015;4;1E3F43B5;ELETROTÉCNICA;80;RG;-;80;-;-;0;73;76;75;-;75;92;90;91;-;91;83;-;83;AP;Aprovado;Concluído
2015;4;1E3F43B5;EMPREENDEDORISMO;40;RG;-;40;-;-;0;70;80;75;-;75;100;96;98;-;98;87;-;87;AP;Aprovado;Concluído
2015;4;1E3F43B5;ENSAIOS DE MATERIAIS;80;RG;-;80;-;-;0;60;67;64;-;64;75;75;75;-;75;70;-;70;AP;Aprovado;Concluído
2015;4;1E3F43B5;FILOSOFIA;40;RG;-;40;-;-;0;73;18;46;-;46;70;63;67;-;67;57;-;69;AP;Aprovado;Concluído
2015;4;1E3F43B5;INSTALAÇÃO E MANUTENÇÃO INDUSTRIAL;80;RG;-;94;-;-;0;85;80;83;-;83;75;80;78;-;78;81;-;81;AP;Aprovado;Concluído
2015;4;1E3F43B5;LÍNGUA ESTRANGEIRA MODERNA: ESPANHOL;40;RG;-;40;1;-;2,5;85;88;87;-;87;90;70;80;-;80;84;-;84;AP;Aprovado;Concluído
2015;4;1E3F43B5;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;80;RG;-;80;6;-;7,5;67;71;69;-;69;10;75;43;-;43;56;-;68;AP;Aprovado;Concluído
2015;4;1E3F43B5;MATEMÁTICA;80;RG;-;80;4;-;5;82;96;89;-;89;32;85;59;-;59;74;-;84;AP;Aprovado;Concluído
2015;4;1E3F43B5;METALOGRAFIA;40;RG;-;44;4;-;9,1;90;90;90;-;90;88;92;90;-;90;90;-;90;AP;Aprovado;Concluído
2015;4;1E3F43B5;MÁQUINAS ELÉTRICAS;80;RG;-;86;4;-;4,7;28;80;54;80;67;64;85;75;-;75;71;-;71;AP;Aprovado;Concluído
2015;4;1E3F43B5;MÁQUINAS HIDRAÚLICAS;80;RG;-;80;2;-;2,5;75;75;75;-;75;68;60;64;-;64;70;-;70;AP;Aprovado;Concluído
2015;4;1E3F43B5;MÁQUINAS TÉRMICAS;80;RG;-;80;6;-;7,5;78;59;69;-;69;78;62;70;-;70;70;-;70;AP;Aprovado;Concluído
2015;4;1E3F43B5;PLANEJAMENTO E CONTROLE DE MANUTENÇÃO;80;RG;-;81;-;-;0;64;89;77;-;77;94;95;95;-;95;86;-;86;AP;Aprovado;Concluído
2015;4;1E3F43B5;SOCIOLOGIA;40;RG;-;40;-;-;0;70;70;70;-;70;80;85;83;-;83;77;-;77;AP;Aprovado;Concluído
2013;3;834ACD28;EDUCAÇÃO FÍSICA;80;RG;-;83;-;-;0;74;78;76;-;76;75;90;83;-;83;80;-;80;AP;Aprovado;Concluído
2013;3;834ACD28;ELEMENTO DE MÁQUINAS;120;RG;-;115;3;-;2,6;97;92;95;-;95;83;84;84;-;84;90;-;90;AP;Aprovado;Concluído
2013;3;834ACD28;ELETRÔNICA;80;RG;-;80;-;-;0;68;73;71;-;71;70;77;74;-;74;73;-;73;AP;Aprovado;Concluído
2013;3;834ACD28;FILOSOFIA;40;RG;-;40;1;-;2,5;82;65;74;-;74;60;60;60;-;60;67;-;67;AP;Aprovado;Concluído
2013;3;834ACD28;FÍSICA;80;RG;-;81;2;-;2,5;64;78;71;-;71;88;64;76;-;76;74;-;74;AP;Aprovado;Concluído
2013;3;834ACD28;HISTÓRIA;80;RG;-;84;-;-;0;65;61;63;-;63;60;80;70;-;70;67;-;67;AP;Aprovado;Concluído
2013;3;834ACD28;LÍNGUA ESTRANGEIRA MODERNA: ESPANHOL;80;RG;-;85;2;-;2,4;64;65;65;-;65;71;71;71;-;71;68;-;68;AP;Aprovado;Concluído
2013;3;834ACD28;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;120;RG;-;119;9;-;7,6;43;78;61;-;61;50;78;64;-;64;63;-;63;AP;Aprovado;Concluído
2013;3;834ACD28;MATEMÁTICA;120;RG;-;121;1;-;0,8;74;90;82;-;82;79;85;82;-;82;82;-;82;AP;Aprovado;Concluído
2013;3;834ACD28;MECÂNICA TÉCNICA E RESISTÊNCIA DE MATERIAIS;120;RG;-;121;-;-;0;68;66;67;-;67;85;72;79;-;79;73;-;73;AP;Aprovado;Concluído
2013;3;834ACD28;PROCESSOS DE FABRICAÇÃO;120;RG;-;120;17;-;14,2;67;77;72;-;72;76;63;70;-;70;71;-;71;AP;Aprovado;Concluído
2013;3;834ACD28;SOCIOLOGIA;40;RG;-;40;1;-;2,5;60;71;66;-;66;80;80;80;-;80;73;-;73;AP;Aprovado;Concluído
2014;4;834ACD28;AUTOMAÇÃO INDUSTRIAL;80;RG;-;83;10;-;12;50;70;60;-;60;80;75;78;-;78;69;-;69;AP;Aprovado;Concluído
2014;4;834ACD28;ELETROTÉCNICA;80;RG;-;82;6;-;7,3;65;80;73;-;73;60;95;78;-;78;76;-;76;AP;Aprovado;Concluído
2014;4;834ACD28;EMPREENDEDORISMO;40;RG;-;41;2;-;4,9;60;87;74;-;74;65;45;55;-;55;65;-;65;AP;Aprovado;Concluído
2014;4;834ACD28;ENSAIOS DE MATERIAIS;80;RG;-;80;1;-;1,2;76;79;78;-;78;76;74;75;-;75;77;-;77;AP;Aprovado;Concluído
2014;4;834ACD28;FILOSOFIA;40;RG;-;40;3;-;7,5;80;90;85;-;85;70;80;75;-;75;80;-;80;AP;Aprovado;Concluído
2014;4;834ACD28;INSTALAÇÃO E MANUTENÇÃO INDUSTRIAL;80;RG;-;82;2;-;2,4;85;75;80;-;80;91;72;82;-;82;81;-;81;AP;Aprovado;Concluído
2014;4;834ACD28;LÍNGUA ESTRANGEIRA MODERNA: ESPANHOL;40;RG;-;40;5;-;12,5;60;95;78;-;78;77;85;81;-;81;80;-;80;AP;Aprovado;Concluído
2014;4;834ACD28;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;80;RG;-;80;-;-;0;66;52;59;80;70;88;61;75;-;75;73;-;73;AP;Aprovado;Concluído
2014;4;834ACD28;MATEMÁTICA;80;RG;-;82;2;-;2,4;-;74;37;-;37;74;78;76;-;76;57;-;74;AP;Aprovado;Concluído
2014;4;834ACD28;METALOGRAFIA;40;RG;-;40;-;-;0;61;70;66;-;66;85;87;86;-;86;76;-;76;AP;Aprovado;Concluído
2014;4;834ACD28;MÁQUINAS ELÉTRICAS;80;RG;-;80;5;-;6,2;83;64;74;-;74;85;45;65;-;65;70;-;70;AP;Aprovado;Concluído
2014;4;834ACD28;MÁQUINAS HIDRAÚLICAS;80;RG;-;80;4;-;5;70;85;78;-;78;69;44;57;-;57;68;-;68;AP;Aprovado;Concluído
2014;4;834ACD28;MÁQUINAS TÉRMICAS;80;RG;-;80;4;-;5;77;66;72;-;72;87;78;83;-;83;78;-;78;AP;Aprovado;Concluído
2014;4;834ACD28;PLANEJAMENTO E CONTROLE DE MANUTENÇÃO;80;RG;-;81;7;-;8,6;62;65;64;-;64;82;81;82;-;82;73;-;73;AP;Aprovado;Concluído
2014;4;834ACD28;SOCIOLOGIA;40;RG;-;43;4;-;9,3;25;90;58;30;58;74;80;77;-;77;68;-;68;AP;Aprovado;Concluído
2013;3;E7AAEDC6;EDUCAÇÃO FÍSICA;80;RG;-;83;-;-;0;68;70;69;-;69;73;70;72;-;72;71;-;71;AP;Aprovado;Transferido Externo
2013;3;E7AAEDC6;ELEMENTO DE MÁQUINAS;120;RG;-;115;16;-;13,9;64;63;64;-;64;63;70;67;-;67;66;-;66;AP;Aprovado;Transferido Externo
2013;3;E7AAEDC6;ELETRÔNICA;80;RG;-;80;3;-;3,8;53;55;54;18;54;72;78;75;-;75;65;-;65;AP;Aprovado;Transferido Externo
2013;3;E7AAEDC6;FILOSOFIA;40;RG;-;40;1;-;2,5;88;89;89;-;89;88;70;79;-;79;84;-;84;AP;Aprovado;Transferido Externo
2013;3;E7AAEDC6;FÍSICA;80;RG;-;81;4;-;4,9;54;61;58;60;59;80;60;70;-;70;65;-;65;AP;Aprovado;Transferido Externo
2013;3;E7AAEDC6;HISTÓRIA;80;RG;-;84;6;-;7,1;62;64;63;-;63;64;85;75;-;75;69;-;69;AP;Aprovado;Transferido Externo
2013;3;E7AAEDC6;LÍNGUA ESTRANGEIRA MODERNA: ESPANHOL;80;RG;-;85;7;-;8,2;61;68;65;-;65;64;64;64;-;64;65;-;65;AP;Aprovado;Transferido Externo
2013;3;E7AAEDC6;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;120;RG;-;119;57;-;47,9;35;-;18;-;18;-;-;-;-;-;9;-;9;RT;Aprovado;Transferido Externo
