@relation 'planilha_analise-weka.filters.unsupervised.attribute.Remove-R3-8,10-13-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute ano {2013,2014,2015,2016,2017,2018,2019,2020}
@attribute periodo {1,2,3,4}
@attribute qtd_disciplinas {1,2,3,4,6,12,15,16,17,18,19,21}
@attribute resultado_final {Aprovado,Reprovado}
@attribute situacao_atual {Concluído,'Transferido Externo',Evasão,Matriculado,Cancelado,Jubilado,Formado}
@attribute grupo {A,B,C,D,E}

@data
2013,2,15,Aprovado,Concluído,B
2013,3,12,Aprovado,Concluído,A
2013,3,12,Aprovado,'Transferido Externo',C
2013,3,12,Aprovado,Concluído,B
2013,3,12,Aprovado,Concluído,B
2013,3,12,Aprovado,Concluído,B
2013,3,12,Aprovado,Evasão,B
2013,3,12,Aprovado,Concluído,B
2013,3,12,Aprovado,Concluído,B
2013,3,2,Reprovado,'Transferido Externo',D
2013,3,12,Aprovado,'Transferido Externo',C
2013,3,12,Aprovado,Concluído,B
2013,3,12,Aprovado,Concluído,B
2013,3,12,Aprovado,Concluído,A
2013,2,15,Aprovado,Concluído,B
2013,2,15,Aprovado,Concluído,B
2013,2,15,Aprovado,Concluído,B
2013,2,15,Reprovado,'Transferido Externo',D
2013,2,3,Reprovado,'Transferido Externo',D
2013,2,15,Aprovado,'Transferido Externo',B
2013,2,4,Reprovado,'Transferido Externo',E
2013,2,15,Aprovado,'Transferido Externo',B
2013,2,4,Reprovado,'Transferido Externo',E
2013,2,15,Aprovado,Concluído,B
2013,2,15,Aprovado,Concluído,B
2013,2,2,Reprovado,'Transferido Externo',D
2013,2,15,Aprovado,Concluído,B
2013,2,15,Aprovado,Concluído,B
2013,2,15,Aprovado,Concluído,B
2013,2,15,Aprovado,Concluído,B
2013,2,15,Reprovado,Evasão,D
2013,2,15,Aprovado,Concluído,B
2013,2,15,Aprovado,'Transferido Externo',C
2013,1,15,Aprovado,'Transferido Externo',B
2013,1,15,Aprovado,Concluído,A
2013,3,12,Aprovado,Concluído,B
2013,1,15,Aprovado,Concluído,B
2013,1,15,Aprovado,'Transferido Externo',B
2013,1,15,Aprovado,Evasão,B
2013,1,15,Aprovado,Concluído,B
2013,1,15,Reprovado,Evasão,D
2013,1,15,Aprovado,Concluído,B
2013,1,15,Aprovado,Concluído,C
2013,1,15,Reprovado,Evasão,D
2013,1,15,Aprovado,Concluído,B
2013,1,15,Aprovado,Concluído,B
2013,1,15,Aprovado,Concluído,B
2013,1,15,Aprovado,Concluído,B
2013,1,15,Aprovado,Concluído,C
2013,1,15,Aprovado,Concluído,B
2013,1,15,Aprovado,Concluído,B
2013,1,15,Aprovado,Concluído,B
2013,1,15,Reprovado,'Transferido Externo',E
2013,1,15,Aprovado,Concluído,B
2013,1,15,Aprovado,'Transferido Externo',C
2013,1,15,Aprovado,Concluído,A
2013,1,6,Reprovado,'Transferido Externo',E
2013,1,15,Aprovado,Evasão,B
2013,1,15,Reprovado,'Transferido Externo',E
2013,1,15,Aprovado,'Transferido Externo',C
2013,1,15,Aprovado,'Transferido Externo',C
